# The same 30 configurations used by the two exact/A-MR batches.
# Rows 01-10 are the original dog-bird sample; rows 11-30 are batch 2.
# id	model	attack	class_pair	budget
01	VGG13BN	gradmatch	dog-bird	0.002
02	ResNet20BN	sapa	dog-bird	0.001
03	VGG13BN	fc	dog-bird	0.001
04	VGG13BN	fc	dog-bird	0.002
05	VGG13BN	sapa	dog-bird	0.005
06	ConvNetBN	fc	dog-bird	0.002
07	ResNet20BN	fc	dog-bird	0.005
08	VGG13BN	sapa	dog-bird	0.001
09	VGG13BN	fc	dog-bird	0.005
10	ConvNetBN	sapa	dog-bird	0.005
11	ResNet20BN	gradmatch	dog-bird	0.001
12	ConvNetBN	sapa	dog-bird	0.01
13	ConvNetBN	gradmatch	dog-bird	0.005
14	VGG13BN	gradmatch	dog-bird	0.001
15	ConvNetBN	gradmatch	frog-airplane	0.01
16	ResNet20BN	gradmatch	dog-bird	0.002
17	ResNet20BN	fc	dog-bird	0.001
18	ConvNetBN	sapa	dog-bird	0.001
19	ResNet20BN	fc	frog-airplane	0.01
20	ConvNetBN	sapa	frog-airplane	0.01
21	ConvNetBN	gradmatch	dog-bird	0.002
22	ResNet20BN	gradmatch	frog-airplane	0.002
23	ResNet20BN	sapa	frog-airplane	0.002
24	ConvNetBN	gradmatch	dog-bird	0.001
25	ConvNetBN	gradmatch	frog-airplane	0.005
26	VGG13BN	gradmatch	frog-airplane	0.001
27	VGG13BN	fc	frog-airplane	0.001
28	ResNet20BN	sapa	frog-airplane	0.001
29	ConvNetBN	fc	dog-bird	0.001
30	ResNet20BN	fc	frog-airplane	0.001
